transec_source_fire_namestr,transect_source_fire_ID,transect_start_time (UTC s from midnight),transect_end_time  (UTC s from midnight),transect_source_fire_type,transect_type,"transect_altitude (MSL, m)",transect_MCE,transect_BG_CO (ppb),transect_BG_CO2(ppm),transect_emis_time  (UTC s from midnight),transect_fuel,transect_ignition,transect_julian_date,transect_number,transect_plume_number,transect_source_fire_alt,transect_source_fire_lat,transect_source_fire_long,transect_s_distance (m),transect_windspeed (m/s),transect_smoke_age (s),transect_structures_boolean,transect_suppresion_boolean,transect_MCE_ODR,transect_mce_odr_chisq
Shady,1,87603.339,87729,1,1,4795.55118110236,0.889125520507185,83.2891666666666,409.268333333333,83011.2944335937,1,0,206,17,3,2185.4,44.5401,-115.0205,41131.6545625591,8.83657488971716,4654.7056,0,0,0.901797006294049,5.97641592021431
Shady,1,87898.339,87941,1,1,5111.68181818181,0.901686362008373,71.97,409.629166666666,83210.3403320312,1,0,206,18,3,2185.4,44.5401,-115.0205,50270.6127289169,10.6762048072171,4708.6597,0,0,0.902705668843114,0.396289104804705
Shady,1,88153.339,88278.339,1,1,4981.55555555555,0.880740095131095,76.1333333333333,408.949166666666,82034.46484375,1,0,206,19,3,2185.4,44.5401,-115.0205,61304.5610029518,9.91897302483991,6180.5352,0,0,0.90771279866526,3.46731205094172
Shady,1,88431,88541,1,1,5122.03603603603,0.885030814243923,73.1508333333333,409.900833333333,81917.8833007812,1,0,206,20,3,2185.4,44.5401,-115.0205,70518.310354322,10.7364581541022,6568.1167,0,0,0.885587082388835,0.742415359245596
Shady,1,88853.339,88999,1,1,5120.7619047619,0.888678849921229,80.5333333333333,408.4175,81413.486328125,1,0,206,21,3,2185.4,44.5401,-115.0205,80602.0859319147,10.7290437192585,7512.5137,0,0,0.896817258303332,2.87544831002344
Shady,1,89159.339,89293.339,1,1,5119.09629629629,0.897471608648201,76.87,409.191666666666,80811.546875,1,0,206,22,3,2185.4,44.5401,-115.0205,90197.4735831069,10.7193511972287,8414.4531,0,0,0.886996768437637,1.19150967185422
Shady,1,89507,89685.339,1,1,5118.53631284916,0.904172947777658,78.0708333333333,409.131666666666,79951.3291015625,1,0,206,23,3,2185.4,44.5401,-115.0205,103353.183333855,10.7160925370996,9644.6709,0,0,0.904643812206167,2.47945714597146
Shady,1,89841.339,89994.339,1,1,5279.82467532467,0.895964260610889,76.6358333333333,409.2875,80159.73046875,1,0,206,24,3,2185.4,44.5401,-115.0205,113349.656047069,11.6169445353475,9757.2695,0,0,0.902679529783686,1.29981607440984
Shady,1,90262.339,90405.339,1,1,5277.25,0.895738709747074,79.2924999999999,408.8375,79540.8974609375,1,0,206,25,3,2185.4,44.5401,-115.0205,125329.573592793,11.6130817253045,10792.103,0,0,0.924437760930974,0.322312431715674
Shady,1,92833.339,92856,1,1,4494.125,0.851323119514311,70.6841666666666,410.198333333333,92355.1047058105,1,0,206,26,3,2185.4,44.5401,-115.0205,3794.49055885199,7.76135604829458,488.89529,0,0,0.850520751510052,1.73702942824209
Shady,1,93089.339,93129.339,1,1,4497.0487804878,0.900290142008111,68.7341666666666,410.208333333333,91160.0079345703,1,0,206,27,3,2185.4,44.5401,-115.0205,15132.529686118,7.76428475177861,1948.9921,0,0,0.901684213492508,0.265993959062532
Shady,1,93340.34,93505.339,1,1,4162.32530120481,0.852493493800204,82.9141666666666,408.4775,90101.3039550781,1,0,206,28,3,2185.4,44.5401,-115.0205,24669.4431250083,7.42899767258426,3320.696,0,0,0.901556631838919,14.8910161694525
